date,daily_return,daily_volume
2023-01-02,-0.010856306033005612,536389
2023-01-03,0.009973454465835859,244417
2023-01-04,0.0028297849805199206,547807
2023-01-05,-0.01506294713918092,964621
2023-01-06,-0.0057860025196853635,439156
2023-01-09,0.01651436537097151,446968
2023-01-10,-0.02426679243393074,466897
2023-01-11,-0.0042891262885617724,253066
2023-01-12,0.01265936258705534,502747
2023-01-13,-0.008667404022651018,273314
2023-01-16,0.15,10000000
2023-01-17,-0.0009470896893689113,642332
2023-01-18,0.01491389626124288,354844
2023-01-19,-0.00638901996684651,514203
2023-01-20,-0.0044398195964606545,599482
2023-01-23,-0.004343512756185173,480999
2023-01-24,0.022059300827254557,293230
2023-01-25,0.021867860889737866,400415
2023-01-26,0.010040538978788772,796373
2023-01-27,0.0038618639917485597,240984
2023-01-30,0.007373685758962422,407283
2023-01-31,0.01490732028150799,374882
2023-02-01,-0.009358338684023913,458733
2023-02-02,0.011758290447821035,553747
2023-02-03,-0.012538806677490124,716839
2023-02-06,-0.2,500000
2023-02-07,0.009071051958003012,564503
2023-02-08,-0.01428680700225969,513970
2023-02-09,-0.0014006872018866609,510070
2023-02-10,-0.008617548958596856,373555
2023-02-13,-0.002556193705305969,328011
2023-02-14,-0.027985891054607245,318057
2023-02-15,-0.01771533104509847,352592
2023-02-16,-0.006998772345979173,487237
2023-02-17,0.009274624317585824,555867
2023-02-20,-0.001736356827902158,487497
2023-02-21,2.8459158968110197e-05,375237
2023-02-22,0.006882227111022849,760545
2023-02-23,-0.00879536343009052,697780
2023-02-24,0.00283627323807291,397837
2023-02-27,-0.008053665180656158,345576
2023-02-28,-0.017276694941206074,460038
2023-03-01,-0.00390899793755101,647056
2023-03-02,0.005738058624050578,488859
2023-03-03,0.003385890509998015,522805
2023-03-06,-0.00011830494478819761,415142
2023-03-07,0.02392365265937726,507311
2023-03-08,0.004129121603087788,703176
2023-03-09,0.009787360059373466,411720
2023-03-10,0.022381433384979527,461848
2023-03-13,0.18,20000000
2023-03-14,-0.010387882102049535,481719
2023-03-15,0.017437122251229308,289651
2023-03-16,-0.007980627352410626,251938
2023-03-17,0.0002968323030333022,325821
2023-03-20,0.010693159694243486,465274
2023-03-21,0.008907063912931707,522383
2023-03-22,0.017548861819811096,377300
2023-03-23,0.014956441370334693,668757
2023-03-24,0.010693926697057368,423812
2023-03-27,-0.007727087142471915,445118
2023-03-28,0.007948626677932181,417404
2023-03-29,0.0031427199450686704,460564
2023-03-30,-0.01326265459940456,546528
2023-03-31,0.014172990464768526,540200
2023-04-03,0.008072365345785665,337889
2023-04-04,0.00045490080631097155,698785
2023-04-05,-0.002330920609844135,318536
2023-04-06,-0.01198301144700787,453054
2023-04-07,0.001995240735586326,407453
2023-04-10,0.004684391194456443,322966
2023-04-11,-0.008311549842432792,432554
2023-04-12,0.011622040490995293,354249
2023-04-13,-0.010972030464830343,452196
2023-04-14,-0.02123100350042442,499281
2023-04-17,-0.22,300000
2023-04-18,-0.0040336603810210755,485150
2023-04-19,-0.0012602958531301514,368292
2023-04-20,-0.008375167228250532,393373
2023-04-21,-0.016059627607174026,461387
2023-04-24,0.012552373747242185,454993
2023-04-25,-0.006888689838469215,685481
2023-04-26,0.016609524881479397,672398
2023-04-27,0.008073081862107286,397249
2023-04-28,-0.0031475814671745993,375272
2023-05-01,-0.010859024011268665,205434
2023-05-02,-0.00732461986720457,375241
2023-05-03,-0.012125231310951697,329912
2023-05-04,0.020871133595881854,397739
2023-05-05,0.0016444123022982496,497561
2023-05-08,0.011502055425466323,466567
2023-05-09,-0.012673520490102275,438453
2023-05-10,0.0018103512959700388,469711
2023-05-11,0.011778619388085783,425987
2023-05-12,-0.003350107619330159,469350
2023-05-15,0.010311144589217423,167826
2023-05-16,-0.010845679120057666,408077
2023-05-17,-0.013634715446185844,427942
2023-05-18,0.0037940061207813614,399361
2023-05-19,-0.003791764345725522,414412
