,Rank,Company,Symbol,Weight
0,1,Nvidia,NVDA,13.83%
1,2,Microsoft,MSFT,12.62%
2,3,Apple Inc.,AAPL,11.26%
3,4,Amazon,AMZN,7.90%
4,5,Meta Platforms,META,6.17%
5,6,Broadcom Inc.,AVGO,4.48%
6,7,Alphabet Inc. (Class A),GOOGL,4.13%
7,8,Alphabet Inc. (Class C),GOOG,3.87%
8,9,"Tesla, Inc.",TSLA,3.41%
9,10,Netflix,NFLX,1.70%
10,11,Costco,COST,1.47%
11,12,Palantir Technologies,PLTR,1.14%
12,13,T-Mobile US,TMUS,0.98%
13,14,ASML Holding,ASML,0.97%
14,15,Cisco,CSCO,0.88%
15,16,Advanced Micro Devices Inc.,AMD,0.87%
16,17,AstraZeneca,AZN,0.84%
17,18,Linde plc,LIN,0.76%
18,19,PepsiCo,PEP,0.70%
19,20,Intuit,INTU,0.65%
20,21,Booking Holdings,BKNG,0.61%
21,22,Texas Instruments,TXN,0.60%
22,23,Shopify,SHOP,0.59%
23,24,Intuitive Surgical,ISRG,0.58%
24,25,PDD Holdings,PDD,0.56%
25,26,Qualcomm,QCOM,0.56%
26,27,Amgen,AMGN,0.54%
27,28,Adobe Inc.,ADBE,0.51%
28,29,Gilead Sciences,GILD,0.50%
29,30,Honeywell,HON,0.46%
30,31,Arm Holdings,ARM,0.45%
31,32,Applovin Corp,APP,0.45%
32,33,Micron Technology,MU,0.43%
33,34,Applied Materials,AMAT,0.43%
34,35,ADP,ADP,0.42%
35,36,Lam Research,LRCX,0.41%
36,37,Comcast,CMCSA,0.41%
37,38,Palo Alto Networks,PANW,0.41%
38,39,MercadoLibre,MELI,0.40%
39,40,Analog Devices,ADI,0.39%
40,41,KLA Corporation,KLAC,0.38%
41,42,Synopsys,SNPS,0.37%
42,43,Starbucks,SBUX,0.34%
43,44,Intel,INTC,0.34%
44,45,CrowdStrike,CRWD,0.34%
45,46,Vertex Pharmaceuticals,VRTX,0.34%
46,47,DoorDash,DASH,0.34%
47,48,Constellation Energy,CEG,0.32%
48,49,MicroStrategy Inc.,MSTR,0.31%
49,50,Cadence Design Systems,CDNS,0.31%
50,51,O'Reilly Automotive,ORLY,0.29%
51,52,Cintas,CTAS,0.29%
52,53,Mondelez International,MDLZ,0.27%
53,54,Thomson Reuters,TRI,0.27%
54,55,Airbnb,ABNB,0.25%
55,56,Marriott International,MAR,0.24%
56,57,CSX Corporation,CSX,0.23%
57,58,PayPal,PYPL,0.22%
58,59,Monster Beverage,MNST,0.21%
59,60,Regeneron Pharmaceuticals,REGN,0.21%
60,61,Autodesk,ADSK,0.21%
61,62,American Electric Power,AEP,0.20%
62,63,"Workday, Inc.",WDAY,0.20%
63,64,Fortinet,FTNT,0.20%
64,65,Marvell Technology,MRVL,0.20%
65,66,Axon Enterprise Inc.,AXON,0.20%
66,67,Roper Technologies,ROP,0.19%
67,68,Fastenal,FAST,0.19%
68,69,NXP Semiconductors,NXPI,0.19%
69,70,Paccar,PCAR,0.17%
70,71,Idexx Laboratories,IDXX,0.17%
71,72,Paychex,PAYX,0.17%
72,73,Ross Stores,ROST,0.16%
73,74,Keurig Dr Pepper,KDP,0.16%
74,75,Copart,CPRT,0.16%
75,76,Exelon,EXC,0.15%
76,77,Datadog,DDOG,0.15%
77,78,Xcel Energy,XEL,0.15%
78,79,Atlassian,TEAM,0.15%
79,80,Electronic Arts,EA,0.14%
80,81,Zscaler,ZS,0.14%
81,82,Baker Hughes,BKR,0.14%
82,83,Take-Two Interactive,TTWO,0.14%
83,84,Coca-Cola Europacific Partners,CCEP,0.14%
84,85,Diamondback Energy,FANG,0.13%
85,86,Verisk,VRSK,0.13%
86,87,CoStar Group,CSGP,0.13%
87,88,Charter Communications,CHTR,0.12%
88,89,Microchip Technology,MCHP,0.12%
89,90,Cognizant,CTSH,0.12%
90,91,GE HealthCare,GEHC,0.11%
91,92,Kraft Heinz,KHC,0.11%
92,93,Old Dominion Freight Line,ODFL,0.11%
93,94,DexCom,DXCM,0.11%
94,95,Warner Bros. Discovery,WBD,0.09%
95,96,Trade Desk (The),TTD,0.08%
96,97,Lululemon Athletica,LULU,0.08%
97,98,CDW Corporation,CDW,0.07%
98,99,Biogen,BIIB,0.07%
99,100,Onsemi,ON,0.07%
100,101,GlobalFoundries,GFS,0.06%
